a,b,n_full,n_margin,effect_full,effect_margin,delta,abs_delta,sign_flip
Claude 3.7 Sonnet (Inspect),Claude Opus 4.6 (Inspect),157,60,-0.23695784046102517,-0.37916666666666665,-0.1422088262056415,0.1422088262056415,False
Claude 3.7 Sonnet (Inspect),GPT-4 0314,142,53,0.3685446009389671,0.5125786163522013,0.14403401541323413,0.14403401541323413,False
Claude 3.7 Sonnet (Inspect),GPT-4 1106 (Inspect),157,60,0.34819532908704887,0.4861111111111111,0.13791578202406224,0.13791578202406224,False
Claude 3.7 Sonnet (Inspect),GPT-4 Turbo (Inspect),157,60,0.37579617834394907,0.5013888888888889,0.1255927105449398,0.1255927105449398,False
Claude 3.7 Sonnet (Inspect),GPT-4o (Inspect),157,60,0.29087048832271767,0.40694444444444444,0.11607395612172677,0.11607395612172677,False
Claude 3.7 Sonnet (Inspect),GPT-5 (Inspect),157,60,-0.1522679019494306,-0.3313888888888889,-0.1791209869394583,0.1791209869394583,False
Claude 3.7 Sonnet (Inspect),GPT-5.1-Codex-Max (Inspect),157,60,-0.17462845010615713,-0.3402777777777778,-0.16564932767162066,0.16564932767162066,False
Claude 3.7 Sonnet (Inspect),GPT-5.2,157,60,-0.22903397027600847,-0.41180555555555554,-0.18277158527954707,0.18277158527954707,False
Claude 3.7 Sonnet (Inspect),GPT-5.3-Codex,157,60,-0.21735668789808918,-0.3638888888888889,-0.1465322009907997,0.1465322009907997,False
Claude 3.7 Sonnet (Inspect),Gemini 3 Pro,157,60,-0.17250530785562632,-0.3555555555555555,-0.1830502476999292,0.1830502476999292,False
Claude 3.7 Sonnet (Inspect),human,117,42,-0.05620898203356973,-0.12373035421064978,-0.06752137217708004,0.06752137217708004,False
Claude 3.7 Sonnet (Inspect),o1 (Inspect),157,60,0.036093418259023353,0.07361111111111111,0.03751769285208776,0.03751769285208776,False
Claude 3.7 Sonnet (Inspect),o1-preview,142,54,0.15539067739771964,0.27193562610229277,0.11654494870457313,0.11654494870457313,False
Claude 3.7 Sonnet (Inspect),o3 (Inspect),157,60,-0.10530785562632697,-0.22972222222222222,-0.12441436659589525,0.12441436659589525,False
Claude 4 Opus (Inspect),Claude 4.1 Opus (Inspect),157,60,-0.003980891719745224,-0.022916666666666665,-0.01893577494692144,0.01893577494692144,False
Claude 4 Opus (Inspect),Claude Opus 4.5 (Inspect),157,60,-0.13296178343949044,-0.28958333333333336,-0.15662154989384292,0.15662154989384292,False
Claude 4 Opus (Inspect),Claude Opus 4.6 (Inspect),157,60,-0.1767136791022141,-0.2673611111111111,-0.090647432008897,0.090647432008897,False
Claude 4 Opus (Inspect),GPT-4 0314,142,53,0.42534372904091217,0.6128706199460917,0.18752689090517954,0.18752689090517954,False
Claude 4 Opus (Inspect),GPT-4 1106 (Inspect),157,60,0.40843949044585987,0.5979166666666667,0.1894771762208068,0.1894771762208068,False
Claude 4 Opus (Inspect),GPT-4 Turbo (Inspect),157,60,0.43604033970276007,0.6131944444444445,0.17715410474168442,0.17715410474168442,False
Claude 4 Opus (Inspect),GPT-4o (Inspect),157,60,0.35111464968152867,0.51875,0.16763535031847138,0.16763535031847138,False
Claude 4 Opus (Inspect),GPT-5 (Inspect),157,60,-0.09202374059061957,-0.21958333333333335,-0.12755959274271378,0.12755959274271378,False
Claude 4 Opus (Inspect),GPT-5.1-Codex-Max (Inspect),157,60,-0.11438428874734606,-0.22847222222222222,-0.11408793347487615,0.11408793347487615,False
Claude 4 Opus (Inspect),GPT-5.2,157,60,-0.16878980891719744,-0.3,-0.13121019108280255,0.13121019108280255,False
Claude 4 Opus (Inspect),GPT-5.3-Codex,157,60,-0.15711252653927815,-0.2520833333333333,-0.09497080679405517,0.09497080679405517,False
Claude 4 Opus (Inspect),Gemini 3 Pro,157,60,-0.11226114649681529,-0.24375,-0.1314888535031847,0.1314888535031847,False
Claude 4 Opus (Inspect),human,117,42,0.013031962207374516,0.003678942841504416,-0.0093530193658701,0.0093530193658701,False
Claude 4 Opus (Inspect),o1 (Inspect),157,60,0.0963375796178344,0.18541666666666667,0.08907908704883227,0.08907908704883227,False
Claude 4 Opus (Inspect),o1-preview,142,54,0.1998658618376928,0.35648148148148145,0.15661561964378864,0.15661561964378864,False
Claude 4 Opus (Inspect),o3 (Inspect),157,60,-0.04506369426751593,-0.11791666666666667,-0.07285297239915074,0.07285297239915074,False
Claude 4.1 Opus (Inspect),Claude Opus 4.5 (Inspect),157,60,-0.12898089171974522,-0.26666666666666666,-0.13768577494692144,0.13768577494692144,False
Claude 4.1 Opus (Inspect),Claude Opus 4.6 (Inspect),157,60,-0.1727327873824689,-0.24444444444444444,-0.07171165706197555,0.07171165706197555,False
Claude 4.1 Opus (Inspect),GPT-4 0314,142,53,0.4289906103286385,0.6367924528301888,0.20780184250155032,0.20780184250155032,False
Claude 4.1 Opus (Inspect),GPT-4 1106 (Inspect),157,60,0.4124203821656051,0.6208333333333333,0.20841295116772823,0.20841295116772823,False
Claude 4.1 Opus (Inspect),GPT-4 Turbo (Inspect),157,60,0.4400212314225054,0.6361111111111112,0.1960898796886058,0.1960898796886058,False
Claude 4.1 Opus (Inspect),GPT-4o (Inspect),157,60,0.35509554140127386,0.5416666666666666,0.18657112526539277,0.18657112526539277,False
Claude 4.1 Opus (Inspect),GPT-5 (Inspect),157,60,-0.08804284887087435,-0.19666666666666668,-0.10862381779579233,0.10862381779579233,False
Claude 4.1 Opus (Inspect),GPT-5.1-Codex-Max (Inspect),157,60,-0.11040339702760087,-0.20555555555555557,-0.09515215852795471,0.09515215852795471,False
