source,model,d,ability_scale,difficulty_scale,power
swebench-verified,compensatory-mirt,5,2.0,0.5,0.0
swebench-verified,compensatory-mirt,5,2.0,1.0,0.0
swebench-verified,compensatory-mirt,5,2.0,1.5,0.0
swebench-verified,compensatory-mirt,5,2.0,2.0,0.0
swebench-verified,non-compensatory-mirt,2,0.5,0.5,0.0
swebench-verified,non-compensatory-mirt,2,0.5,1.0,0.0
swebench-verified,non-compensatory-mirt,2,0.5,1.5,0.0
swebench-verified,non-compensatory-mirt,2,0.5,2.0,0.0
swebench-verified,non-compensatory-mirt,2,1.0,0.5,0.001
swebench-verified,non-compensatory-mirt,2,1.0,1.0,0.0
swebench-verified,non-compensatory-mirt,2,1.0,1.5,0.0
swebench-verified,non-compensatory-mirt,2,1.0,2.0,0.066
swebench-verified,non-compensatory-mirt,2,1.5,0.5,0.035
swebench-verified,non-compensatory-mirt,2,1.5,1.0,0.042
swebench-verified,non-compensatory-mirt,2,1.5,1.5,0.326
swebench-verified,non-compensatory-mirt,2,1.5,2.0,0.877
swebench-verified,non-compensatory-mirt,2,2.0,0.5,0.131
swebench-verified,non-compensatory-mirt,2,2.0,1.0,0.397
swebench-verified,non-compensatory-mirt,2,2.0,1.5,0.795
swebench-verified,non-compensatory-mirt,2,2.0,2.0,0.991
swebench-verified,non-compensatory-mirt,3,0.5,0.5,1.0
swebench-verified,non-compensatory-mirt,3,0.5,1.0,0.881
swebench-verified,non-compensatory-mirt,3,0.5,1.5,0.215
swebench-verified,non-compensatory-mirt,3,0.5,2.0,0.131
swebench-verified,non-compensatory-mirt,3,1.0,0.5,1.0
swebench-verified,non-compensatory-mirt,3,1.0,1.0,1.0
swebench-verified,non-compensatory-mirt,3,1.0,1.5,1.0
swebench-verified,non-compensatory-mirt,3,1.0,2.0,1.0
swebench-verified,non-compensatory-mirt,3,1.5,0.5,1.0
swebench-verified,non-compensatory-mirt,3,1.5,1.0,1.0
swebench-verified,non-compensatory-mirt,3,1.5,1.5,1.0
swebench-verified,non-compensatory-mirt,3,1.5,2.0,1.0
swebench-verified,non-compensatory-mirt,3,2.0,1.0,1.0
swebench-verified,non-compensatory-mirt,3,2.0,1.5,1.0
swebench-verified,non-compensatory-mirt,3,2.0,2.0,1.0
swebench-verified,non-compensatory-mirt,5,0.5,1.5,1.0
swebench-verified,non-compensatory-mirt,5,0.5,2.0,1.0
swebench-verified,non-compensatory-mirt,5,1.0,2.0,1.0
swebench-verified,non-compensatory-mirt,5,1.5,2.0,1.0
