source,model,d,ability_scale,difficulty_scale,median_of_median_abs_delta,p2_5,p97_5,mean_sign_flip,mean_rho,mean_in_band,n
mmlu-pro,compensatory-mirt,5,2.0,1.0,0.001172465039413248,0.0008103832362851892,0.0018469168958568565,0.09049024822695036,0.9570865646572226,0.9092768450797872,1000
mmlu-pro,compensatory-mirt,5,2.0,1.5,0.0018033893404569151,0.0012783134478527296,0.0026410044558698572,0.13193705673758865,0.909494133383678,0.8081712932180851,1000
mmlu-pro,compensatory-mirt,5,2.0,2.0,0.0024123370137972278,0.0016658033720553037,0.003517964539951665,0.16183421985815602,0.8655355780207505,0.7083095079787235,1000
mmlu-pro,non-compensatory-mirt,2,0.5,0.5,0.02015757385429199,0.015312533882892804,0.02629377873720064,0.021270390070921987,0.9965136957248315,0.28819489694148936,1000
mmlu-pro,non-compensatory-mirt,2,0.5,1.0,0.025717194735786847,0.020549685858901292,0.0323020356270127,0.020545212765957447,0.9962636845371663,0.32140442154255316,1000
mmlu-pro,non-compensatory-mirt,2,0.5,1.5,0.03238852052331092,0.025106417940567827,0.03923236576213697,0.021949468085106384,0.9960166480116301,0.29997165890957445,1000
mmlu-pro,non-compensatory-mirt,2,0.5,2.0,0.03902191005759149,0.03083241866793061,0.047856480854148044,0.023548758865248227,0.9958009273385148,0.2630805352393617,1000
mmlu-pro,non-compensatory-mirt,2,1.0,0.5,0.03541590706157315,0.022350058275302263,0.05151341793558493,0.013306737588652482,0.9960175637340881,0.27707937167553187,1000
mmlu-pro,non-compensatory-mirt,2,1.0,1.0,0.044554570993702275,0.03334915064604046,0.058080010340500796,0.015295212765957446,0.9941379015267706,0.32151653922872336,1000
mmlu-pro,non-compensatory-mirt,2,1.0,1.5,0.05539182047233875,0.0433870583880704,0.06939638554523662,0.017162234042553192,0.9935020872196256,0.3124221243351064,1000
mmlu-pro,non-compensatory-mirt,2,1.0,2.0,0.06584903903794148,0.05311636404252138,0.07881252401941748,0.01867287234042553,0.9936784107918243,0.2806013131648936,1000
mmlu-pro,non-compensatory-mirt,2,1.5,0.5,0.048185753721308636,0.028058540173305595,0.0742741381701338,0.011254432624113474,0.9946630444661271,0.2694949301861702,1000
mmlu-pro,non-compensatory-mirt,2,1.5,1.0,0.06026627615013539,0.040811804550443795,0.08351770272105764,0.014566489361702127,0.9914806566580077,0.31606640625,1000
mmlu-pro,non-compensatory-mirt,2,1.5,1.5,0.07276623443628244,0.05390092916391518,0.09286617121797815,0.01750620567375887,0.989440549951693,0.3187691988031915,1000
mmlu-pro,non-compensatory-mirt,2,1.5,2.0,0.0839319895301218,0.06726219419635662,0.1019676105835772,0.0200540780141844,0.9892754872311066,0.2984158078457447,1000
mmlu-pro,non-compensatory-mirt,2,2.0,0.5,0.060279201192146685,0.03067951356968579,0.09771351703866603,0.010937943262411346,0.9932891811800336,0.2525275930851064,1000
